head,abd,femur
23.54,21.24,4.64
21.83,19.14,4.22
25.13,23.48,5.34
26.89,23.64,5.22
26.26,25.4,5.9
26.93,25.27,5.75
27.74,23.84,5.72
26.11,24.06,5.28
23.99,22.64,5.07
24.56,21.85,4.29
25.03,21.29,4.71
24.16,21.34,4.9
26.54,23.8,5.42
23.73,22.32,4.89
27.18,24.55,5.51
25.97,22.37,4.91
23.53,21.04,4.64
22.66,18.71,4.62
25.43,22.9,4.81
24.99,22.58,5.21
24.03,21.12,5.03
25,21.81,4.44
25.65,23.2,5.4
23.8,21.97,4.95
28.32,23.76,5.89
22.49,21.7,4.76
23.82,21.21,4.53
25.34,21.88,4.98
23.62,22.7,5.25
26.07,22.74,5.25
25.66,21.93,4.85
27.64,23.34,5.48
26.58,24.25,5.25
22.78,21.93,5.26
27.13,26.1,5.61
26.22,23.78,5.47
26.07,22.84,5.47
26.05,24.55,5.53
24.34,20.77,4.63
27.2,22.77,5.55
22.97,18.91,4.45
25.05,22.36,5.5
25.03,21.96,5.05
25.36,23.61,4.84
25.64,21.65,5.2
23.53,21.4,4.7
24.81,21.36,5.33
25.57,23,5.2
25.68,24.72,5.46
25.01,22.2,4.72
24.71,22.5,4.94
23.05,21.85,4.59
29.87,26,5.7
27.54,25.19,5.69
23.85,20.1,4.63
27.49,24.72,5.85
26.32,22.88,5.49
27.24,21.16,5.31
21.69,19.98,4.45
24.52,22.61,5.05
24.81,21.41,5.13
24.56,22.52,4.92
26.56,25.78,5.41
27.59,22.71,5.43
25.73,21.75,4.87
23.52,20.35,4.57
27.76,23.66,4.81
26.08,24.16,5.56
21.89,19.04,4.22
23.37,19.1,4.62
25.04,21.96,4.87
23.25,19.75,4.73
24.33,21.54,4.99
24.5,22.4,5.1
25.93,23.5,5.21
23.01,19.71,4.6
25.48,23.53,5
28.31,27.07,5.66
25.98,23.28,5.33
22.52,19.87,4.55
25.43,24.17,5.07
22.56,20.18,4.59
24.24,21.82,4.96
26.65,24.85,5.38
26.11,24.83,5.21
21.51,19.92,4.47
24.23,20.76,4.84
28.76,27.08,6.27
24.38,22.7,5.15
25.81,22.89,5.12
25.65,22.55,4.7
26.13,22.55,5.65
22.54,19.9,4.9
25.97,23.93,5.37
25.97,22.68,5.47
22.79,19.68,4.69
25.79,22.48,5.11
25.62,21.25,5.28
22.74,21.34,4.71
24.68,22.05,4.86
22.89,20.98,4.25
22.39,20.56,4.58
24.25,21.46,4.64
25.75,23.6,5.35
26.39,22.89,5.33
23.76,21.75,5.1
22.24,19.35,5.02
23.83,20.46,4.79
26.31,23.65,5.36
25.33,21.78,5.69
22.45,21.71,5.09
22.89,19.56,4.45
27.51,25.75,5.57
24.3,21.06,4.29
26.85,24.85,5.5
25.31,22.95,5.09
25.53,22.53,4.87
25.13,23.08,5.01
